sample.id,input_handle,input_size,transcription
0421.120315.070620.0002,/0421.120315.070620.0002.wav,1777.47,bacolod-silay airport
0421.120315.070620.0003,/0421.120315.070620.0003.wav,2038.6,iloilo international airport
0421.120315.070620.0005,/0421.120315.070620.0005.wav,1950.59,manila international airport
0421.120315.070620.0006,/0421.120315.070620.0006.wav,1288.94,butuan airport
0421.120315.070620.0007,/0421.120315.070620.0007.wav,2628.55,diosdado macapagal international airport
0421.120315.070620.0008,/0421.120315.070620.0008.wav,1360.71,tacloban airport
0421.120315.070620.0009,/0421.120315.070620.0009.wav,2438.46,general santos international airport
0421.120315.070620.0010,/0421.120315.070620.0010.wav,2025.9,iloilo international airport
0421.120315.070620.0011,/0421.120315.070620.0011.wav,1863.18,clark international airport
0421.120315.070620.0012,/0421.120315.070620.0012.wav,2220.64,tambler international airport
0421.120315.070620.0014,/0421.120315.070620.0014.wav,1398.89,cotabato airport
0421.120315.070620.0015,/0421.120315.070620.0015.wav,1165.2,mia
0421.120315.070620.0016,/0421.120315.070620.0016.wav,1437.47,dumaguete airport
0421.120315.070620.0017,/0421.120315.070620.0017.wav,2291.91,new iloilo international airport
0421.120315.070620.0018,/0421.120315.070620.0018.wav,730.32,dila
0421.120315.070620.0019,/0421.120315.070620.0019.wav,1064.63,panglabaw
0421.120315.070620.0020,/0421.120315.070620.0020.wav,893.59,liug
0421.120315.070620.0021,/0421.120315.070620.0021.wav,693.75,dugo
0421.120315.070620.0022,/0421.120315.070620.0022.wav,890.23,tuhod
0421.120315.070620.0023,/0421.120315.070620.0023.wav,762.86,baba
0421.120315.070620.0024,/0421.120315.070620.0024.wav,1301.39,bagul-bagol
0421.120315.070620.0025,/0421.120315.070620.0025.wav,780.12,dila
0421.120315.070620.0026,/0421.120315.070620.0026.wav,1205.06,dapi-dapi
0421.120315.070620.0027,/0421.120315.070620.0027.wav,1049.73,igut-igut
0421.120315.070620.0028,/0421.120315.070620.0028.wav,828.76,apdu
0421.120315.070620.0029,/0421.120315.070620.0029.wav,962.86,braso
0421.120315.070620.0030,/0421.120315.070620.0030.wav,802.93,bungot
0421.120315.070620.0031,/0421.120315.070620.0031.wav,939.57,buhok
0421.120315.070620.0032,/0421.120315.070620.0032.wav,945.36,buhok
0421.120315.070620.0033,/0421.120315.070620.0033.wav,1100.28,hintutudlo
0421.120315.070620.0034,/0421.120315.070620.0034.wav,851.32,dila
0421.120315.070620.0035,/0421.120315.070620.0035.wav,1185.42,alimpulo
0421.120315.070620.0036,/0421.120315.070620.0036.wav,1085.79,tangkugo
0421.120315.070620.0037,/0421.120315.070620.0037.wav,1017.22,igut-igut
0421.120315.070620.0038,/0421.120315.070620.0038.wav,963.0,utuk
0421.120315.070620.0041,/0421.120315.070620.0041.wav,1274.06,batiis
0421.120315.070620.0042,/0421.120315.070620.0042.wav,935.13,pikoy
0421.120315.070620.0043,/0421.120315.070620.0043.wav,1202.2,borongan
0421.120315.070620.0044,/0421.120315.070620.0044.wav,1021.61,tandag
0421.120315.070620.0045,/0421.120315.070620.0045.wav,1244.47,guimaras
0421.120315.070620.0046,/0421.120315.070620.0046.wav,1017.26,tarlac
0421.120315.070620.0047,/0421.120315.070620.0047.wav,1035.67,binondo
0421.120315.070620.0049,/0421.120315.070620.0049.wav,1090.1,olongapo
0421.120315.070620.0050,/0421.120315.070620.0050.wav,1078.67,olongapo
0421.120315.070620.0051,/0421.120315.070620.0051.wav,842.36,taguig
0421.120315.070620.0052,/0421.120315.070620.0052.wav,1197.33,valenzuela
0421.120315.070620.0053,/0421.120315.070620.0053.wav,1160.96,marikina
0421.120315.070620.0054,/0421.120315.070620.0054.wav,979.6,rizal
0421.120315.070620.0055,/0421.120315.070620.0055.wav,1004.56,caloocan
0421.120315.070620.0056,/0421.120315.070620.0056.wav,1150.1,muntinlupa
0421.120315.070620.0057,/0421.120315.070620.0057.wav,1074.31,roxas
0421.120315.070620.0058,/0421.120315.070620.0058.wav,992.14,bulacan
0421.120315.070620.0059,/0421.120315.070620.0059.wav,1227.4,mandaluyong
0421.120315.070620.0060,/0421.120315.070620.0060.wav,950.0,tarlac
0421.120315.070620.0061,/0421.120315.070620.0061.wav,779.39,nato
0421.120315.070620.0062,/0421.120315.070620.0062.wav,1120.69,rosas
0421.120315.070620.0063,/0421.120315.070620.0063.wav,780.44,pula 
0421.120315.070620.0064,/0421.120315.070620.0064.wav,862.11,iya
0421.120315.070620.0065,/0421.120315.070620.0065.wav,710.05,puti
0421.120315.070620.0066,/0421.120315.070620.0066.wav,850.62,didto
0421.120315.070620.0067,/0421.120315.070620.0067.wav,1364.54,sama niini
0421.120315.070620.0068,/0421.120315.070620.0068.wav,839.6,nato
0421.120315.070620.0069,/0421.120315.070620.0069.wav,885.95,kinsa
0421.120315.070620.0070,/0421.120315.070620.0070.wav,1908.92,abuhon
0421.120315.070620.0071,/0421.120315.070620.0071.wav,1023.11,pughaw
0421.120315.070620.0072,/0421.120315.070620.0072.wav,759.55,ako
0421.120315.070620.0073,/0421.120315.070620.0073.wav,1089.57,abuhon
0421.120315.070620.0074,/0421.120315.070620.0074.wav,1229.48,ingon niana
